id,name_heb,name_eng,geoname_id
NLI-VA-COUNTRIES112,"<?xml version=""1.0"" encoding=""UTF-8"" standalone=""no""?>
<geoname>
<toponymName>Monaco</toponymName>
<name>Monaco</name>
<lat>43.73333</lat>
<lng>7.41667</lng>
<geonameId>2993458</geonameId>
<countryCode>MC</countryCode>
<countryName>Monaco</countryName>
<fcl>P</fcl>
<fcode>PPLC</fcode>
<fclName>city, village,...</fclName>
<fcodeName>capital of a political entity</fcodeName>
<population>32965</population>
<asciiName>Monaco</asciiName>
<alternateNames>MCM,Monaco,Monaco-Ville,Monako,Mònaco,Mónaco,Mónakó,??????,??????</alternateNames>
<elevation/>
<srtm3>62</srtm3>
<continentCode>EU</continentCode>
<adminCode1>00</adminCode1>
<adminName1/>
<adminCode2/>
<adminName2/>
<alternateName lang=""link"">http://de.wikipedia.org/wiki/Monaco</alternateName>
<alternateName lang=""link"">http://en.wikipedia.org/wiki/Monaco</alternateName>
<alternateName lang=""link"">http://es.wikipedia.org/wiki/Monaco</alternateName>
<alternateName lang=""link"">http://fr.wikipedia.org/wiki/Monaco</alternateName>
<alternateName lang=""link"">http://no.wikipedia.org/wiki/Monaco</alternateName>
<alternateName lang=""iata"">MCM</alternateName>
<alternateName lang=""da"">Monaco</alternateName>
<alternateName lang=""de"">Monaco</alternateName>
<alternateName lang=""en"">Monaco</alternateName>
<alternateName lang=""fi"">Monaco</alternateName>
<alternateName lang=""fr"">Monaco</alternateName>
<alternateName lang=""it"">Monaco</alternateName>
<alternateName lang=""sv"">Monaco</alternateName>
<alternateName>Monaco</alternateName>
<alternateName lang=""es"">Mónaco</alternateName>
<alternateName lang=""pt"">Mónaco</alternateName>
<alternateName lang=""ca"">Mònaco</alternateName>
<alternateName>Monaco-Ville</alternateName>
<alternateName lang=""eo"">Monako</alternateName>
<alternateName lang=""is"">Mónakó</alternateName>
<alternateName lang=""el"">??????</alternateName>
<alternateName lang=""ru"">??????</alternateName>
<timezone dstOffset=""2.0"" gmtOffset=""1.0"">Europe/Monaco</timezone>
<bbox>
<west>7.38432</west>
<north>43.7567</north>
<east>7.44902</east>
<south>43.70997</south>
<accuracyLevel>0</accuracyLevel>
</bbox>
</geoname>
",Monaco,2993458
NLI-VA-COUNTRIES113,????????,Mongolia,2029969
NLI-VA-COUNTRIES114,????????,Montenegro,3194884
NLI-VA-COUNTRIES115,?????,Morocco,2542007
NLI-VA-COUNTRIES116,???????,Mozambique,1036973
NLI-VA-COUNTRIES117,??????,Myanmar,1327865
NLI-VA-COUNTRIES118,???????,Namibia,3355338
NLI-VA-COUNTRIES119,?????,Nauru,2110425
NLI-VA-COUNTRIES120,????,Nepal,1282988
NLI-VA-COUNTRIES121,?????,Netherlands,2750405
NLI-VA-COUNTRIES122,???????? ?? ??? ?????,New Zealand,2186224
NLI-VA-COUNTRIES123,??????????,Nicaragua,3617476
NLI-VA-COUNTRIES124,??????,Niger,2440476
NLI-VA-COUNTRIES125,??????,Nigeria,2328926
NLI-VA-COUNTRIES126,???????,Norway,3144096
NLI-VA-COUNTRIES127,????,Oman,286963
NLI-VA-COUNTRIES128,???????,Pakistan,1168579
NLI-VA-COUNTRIES129,?????,Palau,1559582
NLI-VA-COUNTRIES130,????,Panama,3703430
NLI-VA-COUNTRIES131,????? ????? ?????,Papua New Guinea,2088628
NLI-VA-COUNTRIES132,??????,Paraguay,3437598
NLI-VA-COUNTRIES133,???,Peru,3932488
NLI-VA-COUNTRIES134,??????????,Philippines,1694008
NLI-VA-COUNTRIES135,?????,Poland,798544
NLI-VA-COUNTRIES136,???????,Portugal,2264397
NLI-VA-COUNTRIES137,?????,Qatar,289688
NLI-VA-COUNTRIES138,"??????, ????",Republic of Korea (South Korea),1835841
NLI-VA-COUNTRIES139,???????,Republic of Moldova,672911
NLI-VA-COUNTRIES140,??????,Romania,798549
